SN,Display Name ,Company Profile
1,Les Roches,"Abu Dhabi Hospitality Academy – Les Roches (ADHA–LR), established in September 2024, is redefining hospitality education in the UAE by combining global expertise with Emirati hospitality values. The Academy offers a Bachelor’s in Global Hospitality Management and a Master of Science in International Hospitality Management, with a Master’s in Sports Management and Events launching in 2026. Part of the Les Roches global network and Sommet Education, Les Roches is ranked World’s #2 for hospitality and leisure management by QS World University Rankings by Subject 2026. Learn more at www.lesroches.ae."
2,Aldar Hospitality,"Aldar Hospitality, a subsidiary of Aldar Properties PJSC is one of the UAE’s leading hospitality and leisure operators, bringing together a portfolio of distinctive hotels, resorts, beaches, marinas and golf clubs. In partnership with renowned global hospitality brands, it transforms destinations through bespoke guest experiences, thoughtful service and memorable stays spanning beachfront havens, desert escapes, urban retreats and family resorts."
3,teamlab phenomena,"teamLab Phenomena Abu Dhabi showcases groundbreaking artworks by the international art collective teamLab. The installations are inspired by the balance between nature, the manufactured world, and the environment.

 These living, evolving creations are shaped not only by natural forces but also by your interaction and engagement. Immerse yourself in these artworks and become one with the environment. 

 Situated in Saadiyat Cultural District, Abu Dhabi. It offers you a mind-blowing expedition that is different for each visitor and changes every time you visit."
4,Tourism365,"Tourism365, the tourism arm of ADNEC Group, leads Abu Dhabi’s tourism industry by creating unforgettable travel experiences. With a vision to be a top travel organization in the MENA region, we connect travelers with unique destinations. Operating as a Destination Management Company (DMC) in the UAE, Saudi Arabia, Oman, and Jordan, we also offer corporate travel solutions through our Travel Management Company (TMC). Our tour operator brands, Capital Holidays and Etihad Holidays, serve clients in the UAE, UK, and Germany, catering to a wide range of travel needs, from budget to luxury."
5,Al Ain Museum,"Discover the story of Al Ain through thousands of years

Al Ain Museum explores the rich history and heritage of Al Ain and the region through archaeology and living traditions. Its collections trace human life from prehistoric times to the recent past, revealing how communities adapted and flourished across generations.

اكتشفوا تاريخ العين عبر آلاف السنين

يستعرض متحف العين تاريخ العين وتراثها الثقافي، وامتدادهما في المنطقة من خلال علم الآثار والمقتنيات والتقاليد الحية. وتتتبع مجموعاته حياة الإنسان منذ عصور ما قبل التاريخ وحتى الماضي القريب، وتوضح كيف تكيفت المجتمعات مع بيئتها وازدهرت عبر الأجيال"
6,Al Ain Zoo,
7,Abu Dhabi Pass,"The Abu Dhabi Pass is the City’s Official Sightseeing Pass, offering travelers seamless access to top attractions and exclusive savings across the capital. 
The Platform also serves as the B2B ticket distribution platform for travel trade partners and DMCs, offering seamless wholesale access to 70+ top attractions and experiences, with exclusive freebies like eSIM, FnB discounts, Shopping Offers &more — all through a single self-service portal via a single contract. Partners enjoy exclusive rates, zero bulk sales commitments and no Forex Fees."
,,
1,ADREA,"Abu Dhabi Royal Equestrian Arts (ADREA) is the world’s fifth school of classical horsemanship and the first beyond Europe. Rooted in the Arab tradition of Furusiyya, ADREA brings together Emirati heritage, discipline and artistry through equestrian performance, education and immersive experiences. With accredited programmes, the Furusiyya Gallery, Junior Academy, saddle-making atelier and world-class facilities, ADREA preserves equestrian knowledge for future generations, guided by the highest standards of horse welfare and care."
2,Arabian Oryx Travel & Tourism LLC,"Arabian Oryx Travel & Tourism LLC is a leading Destination Management Company (DMC), established in the UAE in 2004. Backed by an experienced team, we deliver reliable travel solutions for corporate & leisure clients.

Our services include hotels, holidays, activities, staycations and MICE, tailored to our partners’ needs.

Our global B2B booking portal, B2B.AORYX.AE, offers travel agencies and corporate partners access to a vast selection of hotels worldwide, competitive rates & a seamless booking experience - anytime, anywhere.

YOUR MOST TRUSTED, EXPERIENCED & RELIABLE DMC PARTNER IN THE UAE"
3,Gromaxx Hotels Management,"Gromaxx Hotels Management LLC is a UAE-based hospitality management company overseeing a diverse portfolio of Wyndham-branded hotels across Abu Dhabi and Dubai. With a commitment to operational excellence, strategic growth and guest-centric experiences, Gromaxx delivers quality accommodation, dining, wellness and business solutions for leisure and corporate travellers. Through a dynamic portfolio spanning city hotels, extended-stay properties and boutique suites, Gromaxx continues to strengthen its presence in the UAE hospitality landscape while creating lasting value for guests, partners and stakeholders."
4,City Seasons Group of Hotels,"City Seasons Group offers distinctive stays across the Middle East, delivering warm hospitality and exceptional guest experiences. 
Royal Rose Hotel Abu Dhabi, Curio Collection by Hilton: Elegant accommodations and fine dining. 
City Seasons Al Hamra: Comfort in the heart of the city. 
DoubleTree by Hilton Dubai Port Saeed: Convenient city location. 
City Seasons Suites: Home-like suites with amenities. 
City Seasons Towers: Comfort for business and leisure travelers in a central location. 
City Seasons Muscat: Welcoming hospitality in a serene setting. 

Always Great Moments!"
5,Cristal Group,"Cristal Group was initially established in the United Arab Emirates in 2007 under the private office of His Highness Sheikh Hamdan Bin Zayed Al Nahyan, with the aim of delivering world-class hospitality consultancy, technical services, asset management, and brand management. Cristal Group was later established in the British Virgin Islands in 2013. The company is currently managing assets worth over one billion UAE Dirhams, with an annual turnover of over one hundred million Dirhams."
6,Jannah Hotels & Resorts,"About Jannah Hotels & Resorts Jannah Hotels & Resorts is a UAE-based hospitality management company operating premium hotels, executive apartments, and lifestyle accommodations across the Emirates. Blending contemporary design, refined comfort, and authentic Arabian hospitality, the company creates memorable experiences tailored to the needs of today's travelers.

With a growing presence in Abu Dhabi, Dubai, and Ras Al Khaimah, Jannah continues to strengthen its footprint across the UAE. Driven by a commitment to service excellence, operational efficiency, and sustainable growth, the company delivers long-term value for guests, business partners, investors, and the communities it serves."
7,Four Seasons Abu Dhabi,"Set on Al Maryah Island, Four Seasons Hotel Abu Dhabi offers an elevated waterfront retreat in the heart of the capital. Home to a Forbes Travel Guide Five-Star Hotel and Spa, the property is known for exceptional dining, world-class wellness, and warm, intuitive service. Steps from Abu Dhabi's financial hub and The Galleria, the city's premier shopping, dining, and entertainment destination, it provides seamless access to the Louvre Abu Dhabi, Yas Island, and the capital's leading cultural, business, and leisure attractions."
8,Emirates Tours and Safari,"Emirates Tours & Safari is an established inbound DMC in Abu Dhabi, specialising in desert experiences, corporate events, gala dinners, incentive travel, and customised UAE tours since 2011. 

Our own desert venues, modern fleet of vehicles, and experienced operations team enable us to deliver well-organised and memorable experiences across Abu Dhabi, Dubai, and Al Ain. 

Recognised with the World Travel Awards 2025 and 12 consecutive TripAdvisor Travellers’ Choice Awards, we are a trusted partner for travel agents and tour operators, providing reliable destination management services across the UAE."
10,Rayna Tours,
11,Reem Mall,
12,ADNOC Jebel Dhanna,
13,Zayed International Airport,
14,Miral Double Booth (For CEO),
,,
1,7 Stars DMC,
2,Abu Dhabi National Hotels,"Abu Dhabi National Hotels (ADNH) is a leading hospitality group managing a portfolio of premier properties: Sheraton Abu Dhabi Hotel & Resort, Le Méridien Abu Dhabi Resort, Radisson Blu Hotel & Resort, Abu Dhabi Corniche, and Radisson Blu Hotel & Resort, Al Ain. Combining world-class service with local culture, our hotels offer exceptional stays, dining, events, and world-class recreational facilities. ADNH is committed to excellence, innovation, and sustainability, creating memorable experiences that reflect the vibrant spirit of Abu Dhabi and the UAE. "
3,Abu Dhabi Police,
4,Abu Dhabi Ports,"The Abu Dhabi Ports Cruise Business team develops and operates an expanding network of cruise terminals, ferry terminals and marinas across the region. Working with cruise lines, tourism authorities and industry partners, we create connected passenger journeys, strengthen destination appeal and support sustainable tourism growth. From terminal operations to waterfront destinations, we help shape memorable visitor experiences while enabling regional connectivity and long-term value for our partners."
5,Air Arabia,"Air Arabia is the Middle East and North Africa’s first and largest budget carrier operator. Air Arabia commenced operations in October 2003 and currently operates a fleet comprised of Airbus A320 & A321 aircraft, serving some 200 routes from six hubs in the UAE (Sharjah, Abu Dhabi, Ras Al Khaimah), Morocco, Egypt, and Pakistan (Fly Jinnah). Air Arabia Group is an award-winning airline operator that focuses on offering comfort, reliability, and value-for-money air travel. For further information, please visit: www.airarabia.com "
6,Al Ain Adventure ,"Al Ain Adventure is the UAE’s premier land, water and sky adventure destination, set against the iconic Jebel Hafeet mountain. As the Adventure & Active Lifestyle Gateway to Al Ain, it brings together world-class experiences across water, land and sky, from whitewater rafting, kayaking and surfing to thrilling outdoor adventures. Designed for adventure seekers, families, schools, athletes and corporate groups, Al Ain Adventure offers something for everyone."
